element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Ar,18,"=""""","=""""","=""0.288103238""","=""0.000000003""","=""""","=""34709779.9""","=""""","=""2.0565e+12""",AA,"=""0.00000""","=""(4303.464241)""","=""1s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291749237""","=""0.000000003""","=""""","=""34276010.8""","=""""","=""3.6034e+12""",AA,"=""0.00000""","=""(4249.683728)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.291770388""","=""0.000000003""","=""""","=""34273526.1""","=""""","=""3.5864e+12""",AA,"=""0.00000""","=""(4249.375665)""","=""1s""","=""2S""","=""1/2""","=""5p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298732543""","=""0.000000003""","=""""","=""33474759.3""","=""""","=""7.1479e+12""",AA,"=""0.00000""","=""(4150.341205)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.298775875""","=""0.000000005""","=""""","=""33469904.5""","=""""","=""7.1234e+12""",AA,"=""0.00000""","=""(4149.73928)""","=""1s""","=""2S""","=""1/2""","=""4p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3137""","=""0.0007""","=""0.3128283""","=""0.0000020""","=""0.0009""","=""31880000""","=""0""","=""""",,"=""0.00000""","=""(3963.331)""","=""1s2""","=""1S""","=""0""","=""1s.5p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,18,"=""""","=""""","=""0.315022760""","=""0.000000007""","=""""","=""31743738.1""","=""""","=""1.7527e+13""",AA,"=""0.00000""","=""(3935.72192)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
Ar,18,"=""""","=""""","=""0.315137049""","=""0.000000010""","=""""","=""31732225.8""","=""""","=""1.7512e+13""",AA,"=""0.00000""","=""(3934.29458)""","=""1s""","=""2S""","=""1/2""","=""3p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
Ar,17,"=""0.3198""","=""0.0005""","=""0.3199710""","=""0.0000020""","=""-0.0002""","=""31270000""","=""13""","=""""",,"=""0.00000""","=""(3874.858)""","=""1s2""","=""1S""","=""0""","=""1s.4p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""0.3362""","=""0.0003""","=""0.3365615""","=""0.0000005""","=""-0.0004""","=""29740000""","=""19""","=""""",,"=""0.00000""","=""(3683.850)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""1P*""","=""1""",,"=""""","=""L1845""",
Ar,17,"=""""","=""""","=""0.3368908""","=""0.0000005""","=""""","=""29683210""","=""""","=""""",,"=""0.00000""","=""(3680.249)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""2""",M2,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3369658""","=""0.0000005""","=""""","=""29676600""","=""""","=""""",,"=""0.00000""","=""(3679.429)""","=""1s2""","=""1S""","=""0""","=""1s.3p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.3374575""","=""0.0000005""","=""""","=""29633360""","=""""","=""""",,"=""0.00000""","=""(3674.068)""","=""1s2""","=""1S""","=""0""","=""1s.3s""","=""3S""","=""1""",M1,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""29361000""","=""""","=""""",,"=""0.00000""","=""3640.3""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34059""","=""0.00005""","=""""","=""29361000""","=""""","=""""",,"=""0.00000""","=""3640.3""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(1S).3p""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34155""","=""0.00003""","=""""","=""29278000""","=""""","=""""",,"=""31.8668""","=""3661.9""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34166""","=""0.00004""","=""""","=""29269000""","=""""","=""""",,"=""31.8668""","=""3660.8""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34185""","=""0.00004""","=""""","=""29253000""","=""""","=""""",,"=""35.0377""","=""3661.9""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34194""","=""0.00005""","=""""","=""29245000""","=""""","=""""",,"=""35.0377""","=""3660.9""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34195""","=""0.00004""","=""""","=""29244000""","=""""","=""""",,"=""35.0377""","=""3660.8""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(1P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34222""","=""0.00004""","=""""","=""29221000""","=""""","=""""",,"=""31.8668""","=""3654.9""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34231""","=""0.00005""","=""""","=""29213000""","=""""","=""""",,"=""0.00000""","=""3622.0""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34232""","=""0.00005""","=""""","=""29212000""","=""""","=""""",,"=""0.00000""","=""3621.9""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""2P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""29201000""","=""""","=""""",,"=""0.00000""","=""3620.5""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.2s.(3S).3p""","=""4P*""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34245""","=""0.00005""","=""""","=""29201000""","=""""","=""""",,"=""31.8668""","=""3652.4""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34251""","=""0.00004""","=""""","=""29196000""","=""""","=""""",,"=""35.0377""","=""3654.9""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""29179000""","=""""","=""""",,"=""31.8668""","=""3649.6""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34271""","=""0.00004""","=""""","=""29179000""","=""""","=""""",,"=""31.8668""","=""3649.6""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34278""","=""0.00005""","=""""","=""29173000""","=""""","=""""",,"=""35.0377""","=""3652.1""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34301""","=""0.00004""","=""""","=""29154000""","=""""","=""""",,"=""35.0377""","=""3649.6""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""4S""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34301""","=""0.00004""","=""""","=""29154000""","=""""","=""""",,"=""35.0377""","=""3649.6""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34359""","=""0.00005""","=""""","=""29105000""","=""""","=""""",,"=""35.0377""","=""3643.5""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""4D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34365""","=""0.00005""","=""""","=""29099000""","=""""","=""""",,"=""35.0377""","=""3642.9""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p.(3P*).3p""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34437""","=""0.00004""","=""""","=""29039000""","=""""","=""""",,"=""31.8668""","=""3632.2""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(1S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34438""","=""0.00005""","=""""","=""29038000""","=""""","=""""",,"=""31.8668""","=""3632.1""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3d""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34467""","=""0.00004""","=""""","=""29013000""","=""""","=""""",,"=""35.0377""","=""3632.2""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(1S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34468""","=""0.00005""","=""""","=""29012000""","=""""","=""""",,"=""35.0377""","=""3632.1""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3d""","=""2D""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34579""","=""0.00004""","=""""","=""28919000""","=""""","=""""",,"=""31.8668""","=""3617.4""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2s.(3S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.34610""","=""0.00004""","=""""","=""28894000""","=""""","=""""",,"=""35.0377""","=""3617.4""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2s.(3S).3s""","=""2S""","=""1/2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.372342""","=""0.000021""","=""""","=""26857000""","=""""","=""""",,"=""(3123.53467)""","=""(6453.4)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1S""","=""0""",,"=""""","=""""",
Ar,18,"=""0.3731105""","=""0.0000019""","=""0.373109987""","=""0.000000006""","=""0.0000005""","=""26801710""","=""13""","=""6.5502e+13""",AA,"=""0.00000""","=""(3322.993290)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""3/2""",,"=""T7771""","=""L7290""",
Ar,17,"=""""","=""""","=""0.373241""","=""0.000021""","=""""","=""26792400""","=""""","=""""",,"=""(3104.14854)""","=""(6426.0)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""1P*""","=""1""",,"=""""","=""""",
Ar,18,"=""0.3736522""","=""0.0000019""","=""0.373651509""","=""0.000000006""","=""0.0000007""","=""26762860""","=""7""","=""6.5898e+13""",AA,"=""0.00000""","=""(3318.17737)""","=""1s""","=""2S""","=""1/2""","=""2p""","=""2P*""","=""1/2""",,"=""T7771""","=""L7290""",
Ar,17,"=""""","=""""","=""0.374146""","=""0.000021""","=""""","=""26727600""","=""""","=""""",,"=""(3139.58241)""","=""(6453.4)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375375""","=""0.000021""","=""""","=""26640000""","=""""","=""""",,"=""(3123.53467)""","=""(6426.5)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375544""","=""0.000021""","=""""","=""26628000""","=""""","=""""",,"=""(3124.52094)""","=""(6426.0)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""1P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.375689""","=""0.000021""","=""""","=""26617800""","=""""","=""""",,"=""(3126.28983)""","=""(6426.5)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376147""","=""0.000021""","=""""","=""26585400""","=""""","=""""",,"=""(3104.14854)""","=""(6400.3)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376364""","=""0.000021""","=""""","=""26570000""","=""""","=""""",,"=""(3123.53467)""","=""(6417.8)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376501""","=""0.000021""","=""""","=""26560400""","=""""","=""""",,"=""(3104.14854)""","=""(6397.2)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376560""","=""0.000021""","=""""","=""26556200""","=""""","=""""",,"=""(3122.88978)""","=""(6415.4)""","=""1s.2p""","=""3P*""","=""0""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376634""","=""0.000021""","=""""","=""26551000""","=""""","=""""",,"=""(3123.53467)""","=""(6415.4)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376657""","=""0.000021""","=""""","=""26549400""","=""""","=""""",,"=""(3104.14854)""","=""(6395.8)""","=""1s.2s""","=""3S""","=""1""","=""2s.2p""","=""3P*""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376679""","=""0.000021""","=""""","=""26547800""","=""""","=""""",,"=""(3126.28983)""","=""(6417.8)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376832""","=""0.000021""","=""""","=""26537000""","=""""","=""""",,"=""(3123.53467)""","=""(6413.7)""","=""1s.2p""","=""3P*""","=""1""","=""2p2""","=""3P""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.376949""","=""0.000021""","=""""","=""26528800""","=""""","=""""",,"=""(3126.28983)""","=""(6415.4)""","=""1s.2p""","=""3P*""","=""2""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.377208""","=""0.000021""","=""""","=""26510600""","=""""","=""""",,"=""(3139.58241)""","=""(6426.5)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""1D""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378207""","=""0.000021""","=""""","=""26440600""","=""""","=""""",,"=""(3139.58241)""","=""(6417.8)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378479""","=""0.000021""","=""""","=""26421600""","=""""","=""""",,"=""(3139.58241)""","=""(6415.4)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378679""","=""0.000022""","=""""","=""26407600""","=""""","=""""",,"=""(3139.58241)""","=""(6413.7)""","=""1s.2p""","=""1P*""","=""1""","=""2p2""","=""3P""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.378845""","=""0.000022""","=""""","=""26396000""","=""""","=""""",,"=""(3124.52094)""","=""(6397.2)""","=""1s.2s""","=""1S""","=""0""","=""2s.2p""","=""3P*""","=""1""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.379334""","=""0.000022""","=""""","=""26362000""","=""""","=""""",,"=""(3123.53467)""","=""(6392.0)""","=""1s.2p""","=""3P*""","=""1""","=""2s2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.381206""","=""0.000022""","=""""","=""26232600""","=""""","=""""",,"=""(3139.58241)""","=""(6392.0)""","=""1s.2p""","=""1P*""","=""1""","=""2s2""","=""1S""","=""0""",,"=""""","=""""",
Ar,17,"=""0.3949065""","=""0.0000008""","=""0.39490665""","=""0.00000006""","=""-0.0000002""","=""25322450.""","=""100""","=""""",,"=""0.00000""","=""(3139.58241)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""1P*""","=""1""",,"=""""","=""L12339""",
Ar,16,"=""0.396184""","=""0.000020""","=""0.3961765""","=""0.0000022""","=""0.000008""","=""25240800""","=""""","=""""",,"=""31.8668""","=""(3161.386)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""L22456,L11906,L4681c164,L9846c164""",
Ar,17,"=""0.3963""","=""0.0002""","=""0.39693556""","=""0.00000006""","=""-0.00064""","=""25233000""","=""55""","=""""",,"=""0.00000""","=""(3123.53467)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""1""",,"=""""","=""L1845""",
Ar,16,"=""0.396580""","=""0.000013""","=""0.3965783""","=""0.0000022""","=""0.000002""","=""25215600""","=""""","=""""",,"=""35.0377""","=""(3161.386)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2S""","=""1/2""",,"=""""","=""L22456,L11906,L11939c164,L4681c164,L7279c164,L6542c164,L9846c164""",
Ar,17,"=""""","=""""","=""0.39658575""","=""0.00000006""","=""""","=""25215228""","=""""","=""""",,"=""0.00000""","=""(3126.28983)""","=""1s2""","=""1S""","=""0""","=""1s.2p""","=""3P*""","=""2""",M2,"=""""","=""""",
Ar,16,"=""0.396829""","=""0.000049""","=""0.3967742""","=""0.0000019""","=""0.000055""","=""25200000""","=""g""","=""""",,"=""0.00000""","=""(3124.805)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""3/2""",,"=""""","=""L22456,L4681c164,L11906,L11185,L9846c164""",
Ar,16,"=""0.396873""","=""0.000047""","=""0.3968594""","=""0.0000019""","=""0.000014""","=""25197000""","=""g""","=""""",,"=""0.00000""","=""(3124.134)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(1P*)""","=""2P*""","=""1/2""",,"=""""","=""L22456,L11906,L11185,L9846c164""",
Ar,16,"=""0.3981321""","=""0.0000008""","=""0.3981323""","=""0.0000009""","=""-0.0000002""","=""25117290""","=""g""","=""""",,"=""0.00000""","=""3114.146""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L22456,L21430,L18507,L11939c164,L11906,L9865""",
Ar,16,"=""""","=""""","=""0.3981663""","=""0.0000015""","=""""","=""25115130""","=""""","=""""",,"=""31.8668""","=""(3145.747)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""0.3983465""","=""0.0000009""","=""0.3983466""","=""0.0000009""","=""-0.0000001""","=""25103770""","=""g""","=""""",,"=""0.00000""","=""3112.471""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""2P*""","=""1/2""",,"=""""","=""L22456,L21430,L18507,L11939c164,L11906,L9865""",
Ar,16,"=""0.398570""","=""0.000013""","=""0.3985722""","=""0.0000015""","=""-0.000002""","=""25089700""","=""""","=""""",,"=""35.0377""","=""(3145.747)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""3/2""",,"=""""","=""L22456,L11906,L7279c164,L11185,L6542c164,L4681c164,L9846c164""",
Ar,16,"=""0.398584""","=""0.000030""","=""0.3985737""","=""0.0000015""","=""0.000010""","=""25088800""","=""""","=""""",,"=""31.8668""","=""(3142.564)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""L22456,L7279c164,L11185,L6542c164,L4681c164,L9846c164""",
Ar,16,"=""""","=""""","=""0.3989804""","=""0.0000015""","=""""","=""25063890""","=""""","=""""",,"=""35.0377""","=""(3142.564)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2P""","=""1/2""",,"=""""","=""""",
Ar,16,"=""0.398995""","=""0.000010""","=""0.3990011""","=""0.0000019""","=""-0.000006""","=""25063000""","=""""","=""""",,"=""31.8668""","=""(3139.232)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""L22456,L11906,L11939c164,L7279c164,L4681c164,L6542c164,L9846c164""",
Ar,16,"=""0.399394""","=""0.000010""","=""0.3993962""","=""0.0000019""","=""-0.000002""","=""25037900""","=""""","=""""",,"=""35.0377""","=""(3139.328)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""5/2""",,"=""""","=""L22456,L11906,L11939c164,L7279c164,L11185,L6542c164,L9846c164""",
Ar,16,"=""""","=""""","=""0.3994087""","=""0.0000019""","=""""","=""25037010""","=""""","=""""",,"=""35.0377""","=""(3139.232)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""2D""","=""3/2""",,"=""""","=""""",
Ar,17,"=""""","=""""","=""0.39941452""","=""0.00000006""","=""""","=""25036646""","=""""","=""""",,"=""0.00000""","=""(3104.14854)""","=""1s2""","=""1S""","=""0""","=""1s.2s""","=""3S""","=""1""",M1,"=""""","=""""",
Ar,15,"=""0.40000""","=""0.00005""","=""0.39998""","=""0.00005""","=""0.00002""","=""25000000""","=""*""","=""""",,"=""28.353""","=""3128.1""","=""1s2.2s.2p""","=""3P*""","=""0""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40000""","=""0.00005""","=""0.40010""","=""0.00005""","=""-0.00010""","=""25000000""","=""*""","=""""",,"=""29.2429356""","=""3128.1""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40044""","=""0.00005""","=""0.40036""","=""0.00005""","=""0.00008""","=""24973000""","=""""","=""""",,"=""31.3282718""","=""3128.1""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.2s.(3S).2p2.(1S)""","=""3S""","=""1""",,"=""""","=""L11185""",
Ar,16,"=""""","=""""","=""0.4008640""","=""0.0000015""","=""""","=""24946120""","=""""","=""""",,"=""31.8668""","=""(3124.791)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.4010642""","=""0.0000015""","=""""","=""24933670""","=""""","=""""",,"=""31.8668""","=""(3123.248)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""0.401215""","=""0.000008""","=""0.4012250""","=""0.0000016""","=""-0.000010""","=""24924300""","=""g""","=""""",,"=""0.00000""","=""(3090.141)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""5/2""",,"=""""","=""""",
Ar,16,"=""""","=""""","=""0.4012475""","=""0.0000015""","=""""","=""24922270""","=""""","=""""",,"=""31.8668""","=""(3121.835)""","=""1s2.2p""","=""2P*""","=""1/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""L22456,L9865,L21430,L4681c164,L4416""",
Ar,16,"=""""","=""""","=""0.4012754""","=""0.0000015""","=""""","=""24920540""","=""""","=""""",,"=""35.0377""","=""(3124.791)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""5/2""",,"=""""","=""""",
Ar,15,"=""0.40137""","=""0.00005""","=""0.40137""","=""0.00005""","="" 0.00000""","=""24915000""","=""*""","=""""",,"=""29.2429356""","=""3118.3""","=""1s2.2s.2p""","=""3P*""","=""1""","=""1s.2s.(3S).2p2.(1D)""","=""3D""","=""2""",,"=""""","=""L11185""",
Ar,15,"=""0.40137""","=""0.00005""","=""0.40137""","=""0.00005""","=""0.00000""","=""24915000""","=""*""","=""""",,"=""77.900""","=""3166.9""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3P*""","=""1""",,"=""""","=""L11185""",
Ar,16,"=""""","=""""","=""0.4014760""","=""0.0000015""","=""""","=""24908090""","=""""","=""""",,"=""35.0377""","=""(3123.248)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""3/2""",,"=""""","=""""",
Ar,16,"=""0.401486""","=""0.000012""","=""0.4015003""","=""0.0000016""","=""-0.000014""","=""24907500""","=""""","=""""",,"=""0.00000""","=""(3088.022)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""3/2""",,"=""""","=""L22456,L9865,L4681c164,L11939c164""",
Ar,16,"=""0.401572""","=""0.000035""","=""0.4016111""","=""0.0000016""","=""-0.000039""","=""24902100""","=""g""","=""""",,"=""0.00000""","=""(3087.171)""","=""1s2.2s""","=""2S""","=""1/2""","=""1s.(2S).2s.2p.(3P*)""","=""4P*""","=""1/2""",,"=""""","=""L22456,L9865,L11939c164""",
Ar,16,"=""0.40167""","=""0.00006""","=""0.4016597""","=""0.0000015""","=""0.00001""","=""24896000""","=""g""","=""""",,"=""35.0377""","=""(3121.835)""","=""1s2.2p""","=""2P*""","=""3/2""","=""1s.2p2""","=""4P""","=""1/2""",,"=""""","=""L22456,L4681c164""",
Ar,15,"=""0.40201""","=""0.00005""","=""0.40201""","=""0.00005""","=""0.00000""","=""24875000""","=""""","=""""",,"=""31.3282718""","=""3115.4""","=""1s2.2s.2p""","=""3P*""","=""2""","=""1s.2s.(3S).2p2.(1D)""","=""3D""","=""3""",,"=""""","=""L11185""",
Ar,15,"=""0.40272""","=""0.00005""","=""0.40272""","=""0.00005""","=""0.00000""","=""24831000""","=""*""","=""""",,"=""75.000""","=""3153.7""","=""1s2.2p2""","=""3P""","=""0""","=""1s.2p3""","=""3D*""","=""1""",,"=""""","=""L11185""",
Ar,15,"=""0.40272""","=""0.00005""","=""0.40272""","=""0.00005""","="" 0.00000""","=""24831000""","=""*""","=""""",,"=""56.063""","=""3134.7""","=""1s2.2s.2p""","=""1P*""","=""1""","=""1s.2s.(1S).2p2.(1D)""","=""1D""","=""2""",,"=""""","=""L11185""",
Ar,15,"=""0.40317""","=""0.00005""","=""0.40317""","=""0.00005""","="" 0.00000""","=""24803000""","=""""","=""""",,"=""77.900""","=""3153.1""","=""1s2.2p2""","=""3P""","=""2""","=""1s.2p3""","=""3D*""","=""3""",,"=""""","=""L11185""",
Ar,14,"=""0.40389""","=""0.00005""","=""0.40389""","=""0.00004""","=""0.00000""","=""24759000""","=""""","=""""",,"=""50.9829""","=""3120.7""","=""2s.2p2""","=""2D""","=""5/2""","=""1s.2s.(3S).2p3.(2D*)""","=""2D*""","=""5/2""",,"=""""","=""L11185""",
