element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,obs-ritz,wn(cm-1),intens,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
H,1,"=""""","=""""","=""2625.8466529""","=""0.0000007""","=""""","=""3808.2955031""","=""""","=""4.4563e+05""",AAA,"=""12.74853299663""","=""[13.22070146198]""","=""4s""","=""2S""","=""1/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.862640""","=""0.000006""","=""""","=""3808.272318""","=""""","=""1.2012e+06""",AAA,"=""12.7485381084""","=""(13.220703699081)""","=""4d""","=""2D""","=""3/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.8626846""","=""0.0000007""","=""""","=""3808.2722522""","=""""","=""8.6219e+05""",AAA,"=""12.74853811674""","=""13.22070369934""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.865737""","=""0.000006""","=""""","=""3808.267826""","=""""","=""9.4169e+03""",AAA,"=""12.7485381084""","=""[13.22070314214]""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.8657986""","=""0.0000007""","=""""","=""3808.2677361""","=""""","=""1.4370e+05""",AAA,"=""12.74853811674""","=""[13.22070313941]""","=""4p""","=""2P*""","=""3/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""2625.871""","=""0.021""","=""2625.868""","=""0.004""","=""0.003""","=""3808.26""","=""(9000)""","=""7.7110e+05""",AAA,"=""12.7485393""","=""13.22070389""","=""4""","=""""","=""""","=""6""","=""""","=""""",,"=""T8637""","=""L7452""",
H,1,"=""""","=""""","=""2625.8715885""","=""0.0000007""","=""""","=""3808.2593390""","=""""","=""1.2870e+06""",AAA,"=""12.74853999753""","=""(13.220703979103)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""7/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.87159""","=""0.00003""","=""""","=""3808.25933""","=""""","=""1.3238e+06""",AAA,"=""12.748539998""","=""(13.220703978574)""","=""4f""","=""2F*""","=""5/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.8731458""","=""0.0000007""","=""""","=""3808.2570805""","=""""","=""8.5799e+04""",AAA,"=""12.74853999753""","=""(13.220703699081)""","=""4d""","=""2D""","=""5/2""","=""6f""","=""2F*""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.87315""","=""0.00003""","=""""","=""3808.25708""","=""""","=""1.0214e+03""",AAA,"=""12.748539998""","=""13.22070369934""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.8742190""","=""0.0000007""","=""""","=""3808.2555241""","=""""","=""2.3885e+05""",AAA,"=""12.74853811674""","=""13.22070162532""","=""4p""","=""2P*""","=""3/2""","=""6s""","=""2S""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.875081""","=""0.000006""","=""""","=""3808.254274""","=""""","=""9.4181e+04""",AAA,"=""12.7485381084""","=""[13.22070146198]""","=""4d""","=""2D""","=""3/2""","=""6p""","=""2P*""","=""1/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.875900""","=""0.000009""","=""""","=""3808.253086""","=""""","=""1.3728e+06""",AAA,"=""12.7485409403""","=""(13.220704146589)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""9/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.8762431""","=""0.0000007""","=""""","=""3808.2525885""","=""""","=""8.4755e+04""",AAA,"=""12.74853999753""","=""[13.22070314214]""","=""4d""","=""2D""","=""5/2""","=""6p""","=""2P*""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.87626""","=""0.00003""","=""""","=""3808.25256""","=""""","=""2.1451e+04""",AAA,"=""12.748539998""","=""[13.22070313941]""","=""4f""","=""2F*""","=""5/2""","=""6d""","=""2D""","=""3/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.876834""","=""0.000009""","=""""","=""3808.251731""","=""""","=""4.9028e+04""",AAA,"=""12.7485409403""","=""(13.220703978574)""","=""4f""","=""2F*""","=""7/2""","=""6g""","=""2G""","=""7/2""",,"=""T7771""","=""""",
H,1,"=""""","=""""","=""2625.878387""","=""0.000009""","=""""","=""3808.249479""","=""""","=""2.0429e+04""",AAA,"=""12.7485409403""","=""13.22070369934""","=""4f""","=""2F*""","=""7/2""","=""6d""","=""2D""","=""5/2""",,"=""T7771""","=""""",
Ar,2,"=""2626.2216""","=""0.0002""","=""2626.22173""","=""0.00021""","=""-0.0001""","=""3807.7517""","=""66""","=""""",,"=""24.810530468""","=""25.282631498""","=""3s2.3p4.(3P).6s""","=""4P""","=""1/2""","=""3s2.3p4.(3P).6p""","=""4S*""","=""3/2""",,"=""""","=""L11520""",
